المعرف,النوع,المبلغ,الوصف,التاريخ,المدرسة,الملاحظات
20,أدوات مدرسية,50000,مصروف أدوات مدرسية للمدرسة,2025-09-06,ثانوية سومر للبنات,""
19,صيانة الحاسوب,250000,مصروف صيانة الحاسوب للمدرسة,2025-08-06,ثانوية سومر للبنات,""
18,فواتير الماء,250000,مصروف فواتير الماء للمدرسة,2025-08-28,ثانوية سومر للبنات,"مصروف شهري"
17,أدوات مدرسية,50000,مصروف أدوات مدرسية للمدرسة,2025-09-12,مدرسة سومر الابتدائية,""
16,رواتب المعلمين,250000,مصروف رواتب المعلمين للمدرسة,2025-08-05,مدرسة سومر الابتدائية,""
15,فواتير الكهرباء,250000,مصروف فواتير الكهرباء للمدرسة,2025-08-07,مدرسة سومر الابتدائية,""
14,قرطاسية,250000,مصروف قرطاسية للمدرسة,2025-08-27,مدرسة سومر الابتدائية,""
13,فواتير الكهرباء,250000,مصروف فواتير الكهرباء للمدرسة,2025-12-17,مدرسة سومر الابتدائية,""
12,فواتير الكهرباء,100000,مصروف فواتير الكهرباء للمدرسة,2025-11-05,مدرسة سومر الابتدائية,"مصروف شهري"
11,وقود السيارات,250000,مصروف وقود السيارات للمدرسة,2025-10-18,مدرسة سومر الابتدائية,""
10,فواتير الكهرباء,50000,مصروف فواتير الكهرباء للمدرسة,2025-09-10,مدرسة سومر الابتدائية,""
9,صيانة المباني,50000,مصروف صيانة المباني للمدرسة,2025-09-01,مدرسة سومر الابتدائية,""
8,قرطاسية,50000,مصروف قرطاسية للمدرسة,2025-08-06,مدرسة سومر الابتدائية,""
7,رواتب المعلمين,50000,مصروف رواتب المعلمين للمدرسة,2025-08-16,مدرسة سومر الابتدائية,""
6,فواتير الماء,50000,مصروف فواتير الماء للمدرسة,2025-09-11,مدرسة سومر الابتدائية,"مصروف عاجل"
5,معدات مكتبية,100000,مصروف معدات مكتبية للمدرسة,2025-10-12,مدرسة سومر الابتدائية,""
4,أدوات مدرسية,50000,مصروف أدوات مدرسية للمدرسة,2025-09-19,مدرسة سومر الابتدائية,""
3,مواد تنظيف,50000,مصروف مواد تنظيف للمدرسة,2025-10-01,مدرسة سومر الابتدائية,""
2,فواتير الماء,100000,مصروف فواتير الماء للمدرسة,2025-08-25,مدرسة سومر الابتدائية,""
1,فواتير الكهرباء,50000,مصروف فواتير الكهرباء للمدرسة,2025-09-09,مدرسة سومر الابتدائية,""
